id,metric,gemini_2_5_pro,gpt_oss_120b,deepseek_v3_1,qwen3_235b_a22b__2507_tput,gpt_5
003a51f0,faithfulness,1.0,1.0,0.5,0.5833333333333334,0.8
003a51f0,factual_correctness,0.46,0.29,0.6,0.57,0.2
006a120d,faithfulness,1.0,0.7333333333333333,0.0,0.7647058823529411,0.8
006a120d,factual_correctness,0.1,0.14,0.43,0.38,0.0
008c8617,faithfulness,0.75,0.5,0.6956521739130435,0.631578947368421,0.6
008c8617,factual_correctness,0.35,0.0,0.59,0.48,0.0
00e57882,faithfulness,0.2,0.2857142857142857,0.1428571428571428,0.1666666666666666,0.0
00e57882,factual_correctness,0.41,0.64,0.51,0.57,0.63
00f4fdce,faithfulness,0.1851851851851851,1.0,0.3333333333333333,1.0,1.0
00f4fdce,factual_correctness,0.41,0.76,0.27,0.54,0.42
01207279,faithfulness,1.0,0.9655172413793104,1.0,0.7777777777777778,1.0
01207279,factual_correctness,0.0,0.0,0.1,0.11,0.0
01350b8a,faithfulness,0.4,0.0,0.5714285714285714,0.625,0.4444444444444444
01350b8a,factual_correctness,0.0,0.0,0.46,0.63,0.0
02354203,faithfulness,0.8125,0.1428571428571428,0.6551724137931034,1.0,0.1739130434782608
02354203,factual_correctness,0.0,0.79,0.71,0.44,0.59
02651161,faithfulness,1.0,0.2,1.0,1.0,0.25
02651161,factual_correctness,0.26,0.0,0.18,0.07,0.85
02b54a46,faithfulness,1.0,0.7037037037037037,0.9285714285714286,1.0,1.0
02b54a46,factual_correctness,0.74,0.79,0.71,0.75,0.0
031701a5,faithfulness,1.0,0.6363636363636364,0.9855072463768116,0.9239130434782608,1.0
031701a5,factual_correctness,0.18,0.91,0.38,0.54,0.19
038a64ad,faithfulness,1.0,0.3924050632911392,0.4736842105263157,1.0,0.423728813559322
038a64ad,factual_correctness,0.19,0.88,0.56,0.44,0.03
038ce6e8,faithfulness,0.25,0.25,0.5,0.0,0.6666666666666666
038ce6e8,factual_correctness,0.74,0.82,0.8,0.86,0.67
042651a2,faithfulness,1.0,0.59375,0.0,0.0,0.5882352941176471
042651a2,factual_correctness,0.19,0.68,0.43,0.0,0.14
04931eea,faithfulness,1.0,0.2647058823529412,0.6153846153846154,0.3888888888888889,0.7777777777777778
04931eea,factual_correctness,0.11,0.48,0.48,0.48,0.3
04c42c12,faithfulness,0.875,0.3387096774193548,0.3939393939393939,0.4848484848484848,0.3043478260869565
04c42c12,factual_correctness,0.22,0.66,0.46,0.47,0.53
04d4db4c,faithfulness,1.0,0.6428571428571429,0.4615384615384615,0.0,0.9743589743589745
04d4db4c,factual_correctness,0.22,0.57,0.0,0.0,0.39
04ea9545,faithfulness,1.0,0.8333333333333334,1.0,1.0,0.25
04ea9545,factual_correctness,0.67,0.92,0.89,0.89,0.67
0542261a,faithfulness,0.5789473684210527,0.375,0.9230769230769232,0.25,0.8571428571428571
0542261a,factual_correctness,0.0,0.68,0.47,0.54,0.57
05830b14,faithfulness,0.5714285714285714,0.0,0.7142857142857143,0.0,0.4074074074074074
05830b14,factual_correctness,0.58,0.64,0.59,0.0,0.64
05d9f1d9,faithfulness,0.4,0.375,0.4,0.2222222222222222,1.0
05d9f1d9,factual_correctness,0.73,0.8,0.77,1.0,1.0
05fa53fc,faithfulness,0.8461538461538461,0.0,0.7608695652173914,0.7142857142857143,0.675
05fa53fc,factual_correctness,0.54,0.76,0.69,0.48,0.6
0614f13a,faithfulness,1.0,1.0,1.0,1.0,0.0
0614f13a,factual_correctness,1.0,0.86,1.0,1.0,0.0
061bd28a,faithfulness,1.0,0.0952380952380952,1.0,0.2727272727272727,1.0
061bd28a,factual_correctness,0.15,0.05,0.06,0.38,0.14
07994506,faithfulness,1.0,0.4459459459459459,0.4418604651162791,0.320754716981132,0.0
07994506,factual_correctness,0.13,0.71,0.53,0.63,0.45
079d16cc,faithfulness,0.0,1.0,1.0,0.8947368421052632,1.0
079d16cc,factual_correctness,0.0,0.97,0.89,0.8,0.86
0871482c,faithfulness,0.8571428571428571,0.4615384615384615,1.0,0.6470588235294118,1.0
0871482c,factual_correctness,0.53,0.51,0.61,0.55,0.98
08b7269b,faithfulness,0.0,0.2909090909090909,0.717948717948718,0.6206896551724138,0.825
08b7269b,factual_correctness,0.29,0.71,0.45,0.71,0.32
08de8104,faithfulness,0.5416666666666666,0.873015873015873,0.59375,0.9166666666666666,0.0
08de8104,factual_correctness,0.83,0.59,0.65,0.7,0.48
094d5944,faithfulness,0.0,0.5324675324675324,0.0,0.0,0.0
094d5944,factual_correctness,0.0,0.0,0.53,0.58,0.47
095ae0b8,faithfulness,1.0,0.9696969696969696,1.0,0.8571428571428571,0.6666666666666666
095ae0b8,factual_correctness,0.11,0.36,0.0,0.18,0.0
0a11d21c,faithfulness,1.0,0.9,0.875,0.7142857142857143,0.0
0a11d21c,factual_correctness,0.67,0.0,0.67,0.83,0.93
0a6d7405,faithfulness,0.0,0.85,0.4411764705882353,0.3571428571428571,0.5185185185185185
0a6d7405,factual_correctness,0.25,0.93,0.55,0.52,0.78
0a84c170,faithfulness,1.0,0.5925925925925926,0.8275862068965517,0.9310344827586208,0.9032258064516128
0a84c170,factual_correctness,0.78,0.29,0.38,0.37,0.22
0aa82f46,faithfulness,0.6666666666666666,0.1428571428571428,0.5714285714285714,0.0,0.0
0aa82f46,factual_correctness,0.0,0.93,0.6,0.0,0.86
0ac99337,faithfulness,0.8888888888888888,1.0,0.0,1.0,0.0
0ac99337,factual_correctness,0.88,0.92,0.8,0.0,0.0
0ae8f2f5,faithfulness,1.0,0.8305084745762712,1.0,0.9696969696969696,0.9629629629629628
0ae8f2f5,factual_correctness,0.42,0.86,0.69,0.75,0.78
0b43c077,faithfulness,0.5263157894736842,0.0888888888888888,0.2352941176470588,0.3478260869565217,0.2857142857142857
0b43c077,factual_correctness,0.67,0.66,0.55,0.81,0.77
0bb2b4c4,faithfulness,1.0,0.2162162162162162,1.0,0.04,1.0
0bb2b4c4,factual_correctness,0.0,0.0,0.0,0.2,0.0
0bb64eb9,faithfulness,0.7777777777777778,0.8181818181818182,1.0,0.8888888888888888,0.0
0bb64eb9,factual_correctness,0.92,0.58,0.0,0.0,0.0
0ca4e01a,faithfulness,1.0,1.0,1.0,1.0,1.0
0ca4e01a,factual_correctness,0.47,0.53,0.42,0.53,0.47
0ce096b5,faithfulness,1.0,0.2982456140350877,1.0,0.9375,0.4814814814814814
0ce096b5,factual_correctness,1.0,0.83,0.68,0.92,0.86
